 ?enkova I.," Institute of Translation Studies, Charles University in Prague, Czech Republic"
Chabbert-Brou_ A.,"Service de pneumo-allergologie p_diatrique, H™pital des Enfants, 330, avenue de Grande-Bretagne TSA 70034, 31059 Toulouse cedex 9, France"
Chace P.G.,"University of California, Riverside, United States"
Chachibaia N.G.,"University of Surrey, United Kingdom"
Chachibaia N.G.,"University of Surrey, United Kingdom"
Chakrabarti S.,"MIT, United States"
Challamel M.-J.,"Unit_ de Sommeil de l'Enfant, H™pital Debrousse, 29, rue Bouvier, 69322 Lyon Cedex 05, France"
Chaltiel F.,"Inst. d'Etudes Politiques Grenoble, Saint-Martin d'Heres Cedex, France"
Chambers S.A.,"The Johns Hopkins University, Department of Political Science, 278 Mergenthaler, 3400 North Charles Street, Baltimore, MD 21218, United States"
Chan A.O.K.,"Department of Pathology, Queen Elizabeth Hospital, Kowloon, Hong Kong"
Chan Y.-F.,"Department of Emergency Medicine, Mount Sinai School of Medicine, New York, NY, United States"
Chan Y.-F.Y.,"Icahn Institute for Genomics and Multiscale Biology, Icahn School of Medicine at Mount Sinai, New York, NY, United States"
Chandee S.,"Learning Innovation in Technology Program, Faculty of Industrial Education and Technology, King Mongkut's University of Technology, Thonburi Bangkok, Thailand"
Chang C.-C.,"Department of Foreign Languages and Literatures, National Taiwan University, No. 1, Sec. 4, Roosevelt Road, Taipei, Taiwan"
Chang C.-C.,"National Taiwan University, National Taiwan Normal University, Taiwan"
Chang C.-C.,National Taiwan University
Chang P.-L.,"Department of Applied Linguistics and Language Studies, Chung Yuan Christian University, Taoyuan, Taiwan"
Channin D.S.,"Department of Radiology, Feinberg School of Medicine, Northwestern University, 737 N Michigan Avenue, Chicago, IL 60611, United States"
Charles R.,"Religious Studies Department, St. Francis Xavier University, PO Box 5000, Antigonish, NS, Canada"
Chatterjee K.,"Government General Degree College, Manbazar-II, Purulia, West-Bengal, India"
Chatziioannou S.N.,"Department of Nuclear Medicine, St. Luke's Episcopal Hospital, Houston, TX, United States"
Chaung W.,"Department of Pathology, New York University School of Medicine, Sackler Institute of Graduate Biomedical Sciences, New York, NY, United States"
Chaveiro N.,"Conselho Federal de Fonoaudiologia, Fonoaudi—loga do Centro Estadual de Apoio ao Deficiente do Estado de Goi‡s (CEAD), Int_rprete da Lingua Brasileira de Sinais (LIBRAS)."
Checker M.,"University of Memphis, Department of Anthropology, Memphis, TN, United States"
Chen F.-G.,"Department of Engineering Science, National Cheng Kung University, No 1, Ta-Hsueh Rd., Tainan City 701, Taiwan"
Chen H.,"MIT CSAIL, United States"
Chen J.,"College of Foreign Languages and Cultures, Xiamen University, Xiamen, Fujian 361005, China"
Chen N.-S.,"Department of Information Management, National Sun Yat-sen University, Taiwan"
Chen N.-S.,"Department of Information Management, National Sun Yet-sen University, Kaohsiung, Taiwan"
Chen P.-H.,"Graduate Institute of Intellectual Property, National Taipei University of Technology, Taipei City, Taiwan"
Chen Q.-L.,"School of Foreign Languages, Jimei University, Xiamen, 361021, China"
Cheng H.-Y.,"Department of Computer Science and Information Engineering, Far East University, Tainan City 74448, Taiwan"
Cheng H.-Y.,"Far East University, Taiwan"
Chenier E.,"Department of History, McGill University."
Chernov G.V.,"Moscow Linguistic University, Russian Federation"
Chesla C.A.,"Department of Family Health Care Nursing, University of California San Francisco, San Francisco, CA, United States"
Cheung A.K.F.,"Department of Chinese and Bilingual Studies, Hong Kong Polytechnic University, Kowloon, Hong Kong"
Cheung A.K.F.,"Department of Chinese and Bilingual Studies, Hong Kong Polytechnic University, Kowloon, Hong Kong"
Cheung A.K.F.,"Department of Chinese and Bilingual Studies, Hong Kong Polytechnic University, Kowloon, Hong Kong"
Cheung A.K.F.,"Department of Chinese and Bilingual Studies, Hong Kong Polytechnic University, Kowloon, Hong Kong"
Chiang Y.-N.,"National Taipei University of Technology, Taipei, Taiwan"
Chiaro D.,"University of Bologna, Forl“, Italy"
Chien B.-C.,"Department of Computer Science and Information Engineering, National University of Tainan, Tainan, Taiwan"
Chien B.-C.,"Dept. of Computer Science and Information Engineering, National University of Tainan, Tainan, Taiwan"
Chilton E.E.,
Chin C.,"Trinity College, Broad Street, Oxford OX1 3BH, United Kingdom"
Chincotta D.,"Department of Experimental Psychology, University of Bristol, BS8 1TN, United Kingdom"
Chinn P.W.U.,"Dept. Teach. Educ. Curriculum Studs., University of Hawai'i-Manoa, Wist Annex 226E, 1776 University Avenue, Honolulu, HI 96822, United States"
Chiu T.B.,
Chmiel A.,"Faculty of English, Adam Mickiewicz University, Collegium Novum, al. Niepodlegoci 4, Poznan, Poland"
Chmiel A.,"Adam Mickiewicz University, Poland"
Chmiel A.,"Department of Translation Studies, School of English, Adam Mickiewicz University, al. Niepodleglosci 4., 61-874 Poznan, Poland"
Cho J.,"Linguistics, Macquarie University, Sydney, NSW, Australia"
Cho J.-W.,"Department of Neurology, Samsung Medical Center, Sungkyunkwan University School of Medicine, Seoul, South Korea"
Choi J.,"Hankuk University of Foreign Studies, Seoul, South Korea"
Choi J.,"Universit_ Hankuk des ƒtudes ƒtrangères, S_oul, Cor_e, South Korea"
Choi J.,"Hankuk University of Foreign Studies, Seoul, South Korea"
Choi J.Y.,"ETI, University of Geneva, Geneva, Switzerland"
Chopra S.,"Arcis Seismic Solutions, TGS, Calgary, Canada"
Chouc F.,"Heriot-Watt University, School of Management and Languages, Edinburgh, United Kingdom"
Chren M.-M.,"S. Francisco Vet. Aff. Med. Center, Department of Dermatology, Univ. of California at San Francisco, San Francisco, CA, United States"
Christensen T.P.,"Aarhus School of Business, Department of Language and Business Communication, Fuglesangs All_ 4, Aarhus, 8210 V, Denmark"
Christodoulides G.,"Centre Valibel, Institute for Language and Communication, University of Louvain, Belgium"
Christoffels I.K.,"Faculty of Psychology, Department of Cognitive Neuroscience, Maastricht University, P.O. Box 616, 6200 MD Maasticht, Netherlands"
Christoffels I.K.,"University of Amsterdam, Netherlands"
Christoffersen B.¯.,"Global Research, Novo Nordisk A/S, Copenhagen, Denmark"
Chrostowski W.,
Chukwumah I.,"English and Literary Studies Department, Federal University, Wukari, Taraba State, Nigeria"
Chun M.B.,"Department of Surgery, John A. Burns School of Medicine, University of Hawaii at Manoa, Honolulu, Hawaii 96813, USA."
Cianciaruso L.B.,"West Virginia University School of Medicine, United States"
Ciliberto M.,
Cintho M.,"Departamento de Ciência da Computaç‹o - DCC, Instituto de Matem‡tica e Estat’stica - IME, Universidade de S‹o Paulo - USP, Rua do Mat‹o, 1010, CEP 05508-090 - S‹o Paulo, SP, Brazil"
Cirillo S.,"Almont Capital LLC, 12800 Hillcrest Road, Dallas, TX 75230, United States"
Clark A.,"Quality Use of Medicines and Pharmacy Research Centre, Sansom Institute, University of South Australia, GPO Box 2471, Adelaide, SA 5001, Australia"
Clarke J.A.,"University of Minnesota Law School, United States"
Class B.,"Department of Interpreting, Faculty of Translation and Interpreting, University of Geneva, Geneva, Switzerland"
Claudio B.,
Clifford A.,"School of Graduate Studies, University of Toronto, 63 St. George Street, Toronto, ON M5S 2Z9, Canada"
Clifford A.,"University of Toronto, Canada"
Clifford A.,University of Toronto
Clifford S.J.,Spectrum Energy and Information Techn. Ltd.
Clouet R.,"Universidad de Las Palmas de Gran Canaria, Spain"
Clow D.,"Institute of Educational Technology, Open University, Walton Hall, Milton Keynes, United Kingdom"
çlvarez A.M.G.,"Universidad de Las Palmas de Gran Canaria, Spain"
çlvarez C.L.,"Mexican National Researchers System (Level II), Universidad Panamericana, Mexico"
Coakley C.A.,"Brigham and Women's Hospital, Boston, USA."
Coan A.B.,"University of Wisconsin, Law School, United States"
Cohen A.,"Ono Academic College, Israel"
Cohen Lawrence,"ARGOSystems, Inc, Sunnyvale, United States"
Cohen S.,
Cohn L.,"16311 Ventura Boulevard, Encino, CA 94136, United States"
Cokely D.,"ASL Program, Northeastern University, 400 Meserve Hall, Boston, MA, United States"
Colijn C.,"Department of Mathematics, Centre for Nonlinear Dynamics, McGill University, 3655 Promenade Sir William Osier, Montreal, H3G 1Y6, Canada"
Colley H.,"Department of Education and Community Studies, University of Huddersfield, United Kingdom"
Collin D.,"Department of Radiology, Sahlgrenska University Hospital, MÌ_lndal, Sweden"
Colucci C.,"University of Trieste, Italy"
Conant L.,"University of Denver, United States"
Conn L.C.,
Contreras S.,"Universidad de los Andes, Chile"
Cooper C.A.,"School of Biosciences, University of Exeter, Hatherly Laboratories, Exeter, Devon EX4 4PS, United Kingdom"
Cooper J.,"Computing Laboratory, University of Oxford"
Cooper J.,"Computing Laboratory, University of Oxford, United Kingdom"
Copeland C.,
Cornes A.,"Rivendell Adoslescent Unit, Thomas Walker Hospital ('Rivendell'), Hospital Road, Sydney, NSW 2138, Australia"
Cortabarria B.,"Department of Modern Languages and Literatures, Sweet Briar College, Sweet Briar, VA, United States"
Costa B.,"Mothertongue Multi-Ethnic, Counselling Service, Reading, United Kingdom"
Cosyns M.,"Department of Otorhinolaryngology, Faculty of Medicine and Health Sciences, Ghent University Hospital, De Pintelaan 185 2P1, B-9000, Gent, Belgium"
Cota O. M.D.G.,"Departamento de Matem‡ticas, Universidad de Sonora, Hermosillo, Sonora, CP 83000, Mexico"
Cowan N.,"University of Missouri, United States"
Cox A.,"Vrije Universiteit Brussel, Belgium"
Crane M.L.,"Queen's University, Kingston, ON, Canada"
Crasborn O.,
Cremades S.,"Praticien Hospitalier, Service Hospitalo-Universitaire de Psychologie M_dicale et de Psychiatrie du Professeur-Loas, CHU, 80054 Amiens, France"
Crenna F.,"Universitˆ degli Studi di Genova, DIME/MEC, Via All'Opera Pia 15A, Genova, Italy"
Crespi A.,"Azienda Ospedaliera San Gerardo, U.O. Fisica Sanitaria, Monza, Italy"
Crews Thad,"Western Kentucky Univ, Bowling Green, United States"
Crezee I.,"Auckland University of Technology, New Zealand"
Crezee I.H.M.,"Auckland University of Technology, New Zealand"
Crezee I.H.M.,"Auckland University of Technology, New Zealand"
Crignon-De Oliveira C.,"CERPHI, ENS Lettres et Sciences Humaines, 16, rue des Coutures Saint Gervais, F-75003 Paris."
Cross B.,"Bishop Grosseteste University College, Lincoln, LN1 3DY, United Kingdom"
Cross Graham,Inst of Translation and Interpreting
Crossman K.L.,"Division of Pediatric Emergency Medicine, Department of Emergency Medicine, Carolinas Medical Center, Charlotte, NC, United States"
Crowne S.S.,"Division of General Pediatrics and Adolescent Medicine, Johns Hopkins University, School of Medicine, Baltimore, MD, United States"
Crowther P.,
Crowther P.,"Univ of Tasmania, Tasmania, Australia"
Cruz Hermida J.,
Cseh M.,"Graduate School of Education and Human Development, Department of Counseling/Human and Organizational Studies, George Washington University, Washington, DC, United States"
Cuhov‡ P.S.,"Katholische Universit_t, Rui_omberok, Slovakia"
Culross R.R.,"Louisiana State University, 388 Pleasant Hall, Baton Rouge, LA 70803, United States"
Cunill C.,
Cunningham H.,"Department of Pediatrics, Columbia University College of Physicians and Surgeons, New York, NY, United States"
Cypowyj C.,"Inserm U912, Economic and Social Sciences, Health Systems and Societies, 232 Bd Ste Marguerite, 13273 Marseille Cedex 09, France"
Cyrluk David,"SRI Int, Menlo Park, United States"
D'Ardenne P.,"Barts and the London School of Medicine, Queen Mary, University of London, United Kingdom"
D’az J.P.-L.,"Universidad de Las Palmas de Gran Canaria, Spain"
D’az M.G.T.,"Universidad de M‡laga, Spain"
D’az-Galaz S.,"Departamento de Traducci—n e Interpretaci—n, Instituto de Literatura y Ciencias Del Lenguaje, Pontificia Universidad Cat—lica de Valpara’so, Chile"
D’az-Galaz S.,"Instituto de Literatura y Ciencias del Lenguaje, Pontificia Universidad Cat—lica de Valpara’so, Av. El Bosque 1290, Vi–a del Mar, Chile"
D’ez I.G.,"Universit_ Catholique de Louvain, Belgium"
Dabaghi A.,"Department of English Literature, University of Isfahan, Isfahan, Iran"
Dabre K.,"Department of Computer Engineering, Sardar Patel Institute of Technology, M.E.(Computer), Mumbai, India"
Dahl C.,"Linguistics Department, University of New Mexico, NM, United States"
Dahl C.I.,"Psychosocial Center for Refugees, University of Oslo, Oslo, Norway"
Dahl D.B.,"Texas A and M University, United States"
Dam H.V.,"Department of Business Communication, School of Business and Social Sciences, Aarhus University, Jens Chr. Skous Vej 4, 8000 Aarhus C, Denmark"
Dam H.V.,Aarhus School of Business
Danelutto M.,"Dept. Computer Science, University of Pisa, Italy"
Dang J.,"Consulting Measurement Group, Inc 2390 Crenshaw Blvd. #110, Torrance, CA 90501, United States"
Danvy O.,"Department of Computer Science, University of Aarhus, Denmark"
Danvy O.,"Department of Computer Science, University of Aarhus, Denmark"
Dar˜ V.,"SSLM per Interpreti e Traduttori, Universitˆ di Trieste, Trieste, Italy"
Dar˜ V.,"University of Trieste, Italy"
Darais D.,"University of Maryland, United States"
Darling L.,"Barnet Enfield/Haringey Mental Hlth., Child/Adolescent Mental Health Dept., St. Ann's Hospital, St Ann's Road, London N15 3TH, United Kingdom"
Das P.,"IEI, WIE-IEEE, India"
Davis D.M.,"Department of Law, University of Cape Town, Rondebosch 7701, South Africa"
Davis J.E.,"American Sign Language Interpreting Program, William Woods University in Fulton, MO, United States"
Davis J.E.,"University of Tennessee, United States"
Davitti E.,"School of English and Languages, University of Surrey, United Kingdom"
Davitti E.,"Centre for Translation Studies, University of Surrey, Guildford, United Kingdom"
Davitti E.,"Centre for Translation Studies, University of Surrey, Guildford GU2 7XH, United Kingdom"
Dawson M.,"School of Urban and Regional Studies, Sheffield Hallam University, Sheffield, United Kingdom"
de Bruin E.,"PsyDoN, Northwest Netherlands Mental Health Centre for the Deaf and Partially Hearing, Mentrum Community Mental Health Institute, Keizersgracht 572, 1017 EM Amsterdam, Netherlands"
de Caso J.,
De Groot A.M.B.,"University of Amsterdam, Roetersstraat 15, 1018 WB Amsterdam, Netherlands"
de Jaimes F.N.,"Golden Valley Health Centers, Merced, CA, United States"
DE JONGH E.M.,"Department of Modern Languages, Florida International University, Miami, Florida, 33199, United States"
De Kerchove F.M.,"ASCOLA Team (Mines Nantes, Inria, LINA), ƒcole des Mines de Nantes, Nantes, France"
De La Cruz M.,"Universidad de Salamanca, Spain"
De La Puente Luna J.C.,"Texas State University, United States"
De Lacerda C.B.F.,"Universidade Federal de S‹o Carlos, Brazil"
de Lacerda C.B.F.,"Universidade Federal de S‹o Carlos, Brazil"
de Lacerda C.B.F.,"Programa de P—s-Graduaç‹o em Educaç‹o, Universidade Metodista de Piracicaba (UNIMEP), S‹o Paulo, Brazil"
De Lourdes Mendes Finete V.,"Escola Polit_cnica de Saœde Joaquim Ven‰ncio, Fundaç‹o Oswaldo Cruz, Av. Brasil, 4365, Manguinhos, CEP 21040-900, Rio de Janeiro, RJ, Brazil"
De Luca L.,"Via Mazzini 6, 30030 Peseggia di Scorzè (VE), Italy"
De Lucena Falc‹o E.,"Digital Video Applications Lab - LAVID, Federal University of Paraiba - UFPB, Jo‹o Pessoa, Para’ba, Brazil"
De Quadros R.M.,"Campus Universit‡rio, Brazil"
De Quadros R.M.,"Universidade Federal de Santa Catarina, Brazil"
De Quadros R.M.,"Universidade Federal de Santa Catarina, Brazil"
de Vries A.,"Lincolnshire Probation Area, United Kingdom"
De Vries B.,
De Wit M.,
De Wit M.,"NLD, United States"
Dean R.K.,"Heriot-Watt University, United Kingdom"
Dean R.K.,"Heriot-Watt University, United Kingdom"
Deb P.,"Department of English, Hijli College, Kharagpur 721302, West Bengal, India"
Debevc M.,"Institute of Media Communications, Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia"
Debevc M.,"University of Maribor, Maribor, Slovenia"
Debevc M.,"Faculty of Electrical Engineering and Computer Science, University of Maribor, Smetanova ulica 17, Maribor SI-2000, Slovenia"
Debevc M.,"Faculty of Electrical Engineering and Computer Science, University of Maribor, Maribor, Slovenia"
Debevc M.,"University of Maribor, Fac. of Elec. Eng./Computer Science, Smetanova 17, 51-2000 Maribor, Slovenia"
Debois S.,"IT University of Copenhagen, Rued Langgaardsvej 7, 2300 Copenhagen S, Denmark"
DeCaro J.J.,"National Technical Institute for the Deaf, New York."
Degotardi V.,"Matilda Hospital, 41 Mt Kellet Rd, The Peak, Hong Kong"
Degueldre C.,"Monterey Institute of International Studies, Monterey, United States"
Dekker E.,"Department of Mental and Behavioral Health Services, On Lok Lifeways, San Francisco, CA, United States"
Del Pozo Trivi–o M.I.,"Universidad de Vigo, Spain"
Delaloye C.,"Centre de Neurog_rontopsychologie, B‰timent Les Champs, Ch. du Petit-Bel-Air 2, 1225 Chêne-Bourg, Switzerland"
Delaney G.,
Delisle A.,"Robert-Sauve Occupational Health and Safety Research Inst. (IRSST) 505 boul. De Maisonneuve Ouest, Montr_al, Qu_. H3A 3C2, Canada"
Delisle A.,"Robert-Sauv_ Occupational Health and Safety Research Institute, 505 Boul. De Maisonneuve Ouest, Montreal, Que. H3A 3C2, Canada"
Dell K.J.,Oxford
Dell'Omodarme F.,
DellÕOrto S.,"Division of Cardiology, Cardio-nefro-cerebrovascular Department, AO Melegnano-Uboldo Hospital, Via Uboldo, 21, Cernusco S.N. (Mi), Italy"
DePaolis R.A.,"Communication Sciences and Disorders, James Madison University, Harrisonburg, VA, United States"
DePestel D.D.,"Global Medical Affairs, Cubist Pharmaceuticals, Lexington, Massachusetts"
Dernocoeur K.,
Derrick D.J.,"Northern Arizona University, Flagstaff, AZ, United States"
Desai S.,"School of Biotechnology, IGNOU - International Institute of Information Technology, Center of Excellence for Advanced Research and Education, P-14, Rajiv Gandhi Infotech Park, Phase-1, Hinjewadi, Pune, India"
Descimon R.,
Deshpande J.M.,"Enterovirus Research Centre, (ICMR) Haffkine Institute Compound, A. Donde Marg, Parel, Mumbai 400012, India"
Desvignes G.,"D_partement de g_ophysique appliqu_e, UPMC, 4 place Jussieu, Paris, 75252, France"
Devine L.,"Department of Laboratory Medicine, Section of Immunobiology, Yale University School of Medicine, New Haven, CT 06520, United States"
Dewailly D.,"Department of Endocrine Gynaecology and Reproductive Medecine, H™pital Jeanne-de-Flandre, CHRU de Lille, Avenue Eugène-Avin_e, 59037 Lille, France"
Dewey K.,"University of California, Santa Barbara, United States"
di Ciccone B.L.,"Department of Psychiatry and Behavioral Sciences, Memorial Sloan-Kettering Cancer Center, New York, NY, United States"
Di Massimo L.,"Di Filosofia e Storia nel Liceo Classico De Castro di Oristano, Italy"
Di Renzo Villata M.G.,"Universitˆ degli Studi di Milano, Facoltˆ di Giurisprudenza, Dipartimento di Diritto Privato e Storia del Diritto, Via Festa del Perdono, 7, IT-20122 Milano, Italy"
Diamond L.C.,"Robert Wood Johnson Clinical Scholars Program, Yale University School of Medicine, New Haven, CT, United States"
Diaz J.E.L.,"Department of Medical Education, Icahn School of Medicine at Mount Sinai, New York, NY, United States"
Dickinson J.,"Nottinghamshire Deaf Society, United Kingdom"
Dickinson L.M.,"Department of Family Medicine, University of Colorado, School of Medicine, 12631 E. 17th Ave., Mail Stop F496, Aurora, CO, United States"
Diedrich A.,"Gothenburg Research Institute, School of Business, Economics and Law, University of Gothenburg, Box 603, SE 405 30 Gothenburg, Sweden"
Dierickx K.,"Centre of Medical Ethics and Law, School of Medicine, K.U. Leuven, Leuven, Belgium"
Diessel O.,"School of Computer Science and Engineering, University of New South Wales, Sydney, NSW, Australia"
Diet E.,"CIPA, France"
Dilg A.W.E.,"Physik-Department E17, TU MŸnchen, James Franck Stra§e, D-85757 Garching, Germany"
Ding C.,"College of Computer Science, Yangtze University, 434023 Jingzhou, China"
Dliou A.,"ESSI, Ecole Nationale des Sciences Appliqu_es, Universit_ Ibn Zohr, Agadir, Morocco"
Dobrescu R.,"Politehnica University of Bucharest, Romania"
Dobri? K.,"University of Rijeka, Croatia"
Dodson E.A.,"Washington University in St. Louis, St Louis, MO, United States"
Dogan A.,"Hacettepe University, Faculty of Letters, Ankara, Turkey"
Dolan R.,"Department of Computer Science, University of Missouri, Columbia, United States"
Dollerup C.,
Dombrovski S.,"University Wuerzburg, Germany"
Dom_nech-Carb— M.T.,"Dept. Conservation and Restoration, Polytechnical University of Valencia, Camino de Vera 14, 46022-Valencia, Spain"
Donald M.R.,"Anne Clements and Associates Pty Ltd., PO Box 1623, North Sydney, NSW 2059, Australia"
Donelan K.,"Massachusetts General Hospital, Institute for Technology Assessment, 101 Merrimac St, Boston, MA 02114, United States"
Dong Y.,"Bilingual Cognition and Development Lab/Center of Linguistics and Applied Linguistics, Guangdong University of Foreign Studies, Guangzhou, China"
Donnarumma F.,"Institute of Cognitive Sciences and Technologies, National Research Council of Italy, Via S. Martino della Battaglia, Rome, Italy"
Donner A.,"Rochester Institute of Technology, Rochester, NY, United States"
Donovan C.,"Health Economics Research Group, Brunel University, Uxbridge, Middlesex, United Kingdom"
Donovan C.,"E.S.I.T., Centre Universitaire Dauphine, 75775 Paris Cedex 16, France"
Dorziat A.,"Universidade Federal da Para’ba, Centro de Educaç‹o, Departamento de Habilitaç›es Pedag—gicas (UFPB/CE/DHP), Brazil"
Dos Reis Filho C.A.,"Magneti-Marelli Research Laboratory, Faculty of Electrical Engineering, State University of Campinas, Campinas, SP, Brazil"
Douglass W.A.,"Basque Studies Program, University of Nevada, Reno, United States"
Downing T.,"Institute of Languages and Literatures, Department of Linguistics, University of Minnesota, Minneapolis, United States"
Drennan G.,"London borough of Brent, Cape Town, South Africa"
Dreyfuss R.C.,
Driesen C.J.,"AWW Universit_t Hamburg, ISIT (Paris), Kanalstr. 16, Hamburg, Allemagne, Germany"
Dryland E.L.,"Balmain, NSW, Trinidad and Tobago"
Drzewiecki B.A.,"Division of Pediatric Urology, Monroe Carell Jr. Children's Hospital at Vanderbilt, 4102 Doctors' Office Tower, 2200 Children's Way, Nashville, TN 37232-9820, United States"
Du B.,"School of English for International Business, Guangdong University of Foreign Studies, No. 2 Baiyun Avenue North, Guangzhou, China"
Du Toit I.-M.,"North-West University, Potchefstroom Campus, Private Bag X6001, Potchefstroom, 2520, South Africa"
Duarte J.P.,"ICIST, Instituto Superior T_cnico, Technical University of Lisbon, Lisbon, Portugal"
Dubslaff F.,Aarhus School of Business
Dubus N.,"Social Work, San Jose State University, San Jose, CA, United States"
Dubus N.,"San Jose State University, United States"
Dubus N.,Social Work San Jose State University San Jose CA USA
Dubus N.,"Social Work, Wheelock College, Boston, MA, United States"
Duca L.,"Automatics and Computers Faculty, University POLITEHNICA of Bucharest, Romania"
Dueweke A.R.,"Department of Psychological Science, University of Arkansas, 216 Memorial Hall, Fayetteville, AR, United States"
Duey W.J.,"Alabama State University, Montgomery, AL, United States"
Dupuy A.,"Service de Dermatologie, H™pital Saint-Louis, 75475 Paris Cedex 10, France"
Durham A.,"University of S‹o Paulo, S‹o Paulo, Brazil"
Duru O.O.,"SPE, United States"
Dwight R..,Univ of Wollongong
Dwight R.A.,Univ of Wollongong
Dwyer J.,
Dysart-Gale D.,"General Studies Unit, Engineering and Computer Science, Concordia University, Montreal, Que., Canada"
Eagle D.E.,"Department of Sociology, Duke University, PO Box 90088, Durham, NC, United States"
Easterbrook M.,"Queen's University, Kingston, Ont., Canada"
Eberle E.J.,"Roger Williams University School of Law, Bristol, RI, United States"
Ebert D.A.,"General Internal Medicine, Department of Medicine, University of Illinois, Chicago, United States"
Eckert M.,"CITSEM, Technical University of Madrid, Madrid, Spain"
Edusei A.K.,"Department of Community Health, Kwame Nkrumah University of Science and Technology, Ghana"
Edwards R.,"University of Southampton, Southampton, SO17 1BJ, United Kingdom"
Edwards R.,
Edwards R.,"Families and Social Capital ESRC Research Group, London South Bank University, 103 Borough Road, London SE1 0AA, United Kingdom"
Edwards R.,"Social Sciences Research Centre, South Bank University, United Kingdom"
Egan C.,
Egan M.,"Medical Research Council Social and Public Health Sciences Unit, University of Glasgow, United Kingdom"
Ehrlich S.,"School of Education, University of Cincinnati, Cincinnati, OH, United States"
Eiter T.,"Institut fŸr Informationssysteme, Arbeitsbereich Wissensbasierte Systeme, Technische Universit_t Wien, Austria"
Ekl_f N.,"Department of Nursing Science, University of Turku, Turku, Finland"
Elaad E.,"Division of Criminal Identification, Israel National Police Headquarters, Jerusalem, Israel"
Elderkin-Thompson V.,"Institute for Brain Aging and Dementia, University of California, Irvine, Irvine, CA, United States"
Eldessoky M.,"Boston Medical Center, One Boston Medical Center Place, Boston, MA 02118, United States"
Elior O.,"University of Geneva, Switzerland"
Elizondo Mayer-Serra C.,"Universidad de Oxford, Divisi—n de Estudios Pol’ticos del CIDE, Mexico"
Elkington E.J.,"Fort Napier Hospital, 1 Devonshire Road, Napierville, Pietermaritzburg, South Africa"
Elkington K.,"University of the Sunshine Coast, Australia"
Ellcessor E.,"The Media School, Cinema and Media Studies, Indiana University, Bloomington, IN, United States"
Elmer S.,"Auditory Research Group Zurich, Division Neuropsychology, Institute of Psychology University of Zurich, Zurich, Switzerland"
Elmer S.,"Auditory Research Group Zurich (ARGZ), Division Neuropsychology, Institute of Psychology, University of Zurich, Zurich, Switzerland"
Elmer S.,University of Zurich
Elmer S.,"Division Neuropsychology, Institute of Psychology, University of Zurich, Switzerland"
Elmer S.,"Division Neuropsychology, Institute of Psychology, University of Zurich, Zurich, Switzerland"
Elmer S.,"Department of Neuropsychology, Institute of Psychology, University of ZŸrich, BinzmŸhlestrasse 14/25, CH-8050 ZŸrich, Switzerland"
Elmer S.,"Department of Neuropsychology, University of Zurich, BinzmŸhlestrasse 14 /25, CH-8050 Zurich, Switzerland"
Elnashar M.,"Center for Cultural Competence in Health Care, Weill Cornell Medical College, Doha, Qatar"
Eng C.,"Comprehensive Cancer Center, and Division of Human Genetics, Department of Internal Medicine, Ohio State University, 420 W 12th Avenue, Columbus, OH 43210, United States"
Engel J.B.,
Engstrom D.W.,"San Diego State University, School of Social Work, 5500 Campanile Drive, San Diego, CA 92182, United States"
Epifantsev B.N.,"Siberian State Automobile and Highway Academy, Omsk, Russian Federation"
Epstein D.G.,"Domestic Human Resources, Doctors Without Borders (MSF USA), 333 Seventh Avenue, New York, NY 10001-5004, United States"
Equy V.,"Clinique Universitaire de Gynecologie-obstetrique et Medecine de la Reproduction, Universit_ Joseph-Fourier Grenoble 1, CHU de Grenoble, BP 217, 38043 Grenoble cedex 09, France"
Errico E.,"Universitˆ di Sassari, Italy"
Ertl M.A.,"Institut fŸr Computersprachen, TU Wien, Argentinierstra§e 8, A-1040 Wien, Austria"
Ertl M.A.,"Institut fŸr Computersprachen, Technische Universit_t Wien, Argentinierstra§e 8, A-1040 Wien, Austria"
Ertl M.A.,"Institut fŸr Computersprachen, Technische Universit_t Wien, Arerentinierstra§e 8, A-1040 Wien, Austria"
Escalada-Imaz Gonzalo,"CEAB-CSIC, Girona, Spain"
Esperon-Rayson G.,"Department of Community Health, Montreal General Hospital, Northern Quebec Module, Canada."
Espinoza-Saavedra M.-J.,"Universidad de Salamanca, Spain"
Estes J.M.,"Victoria College, University of Toronto"
Estrada R.D.,"College of Nursing, University of South Carolina, 1601 Greene St., Columbia, SC, United States"
Evans J.,
Evilevitch V.,"Department of Clinical Physiology, Malm_ University Hospital, S-205 02 Malm_, Sweden"
Ewens S.,"Department of Psychology, University of Portsmouth, United Kingdom"
Ewens S.,"Department of Psychology, University of Portsmouth, Portsmouth, United Kingdom"
Ewens S.,"Department of Psychology, University of Portsmouth, Hants, United Kingdom"
Eytan A.,"Department of Psychiatry, Clinique de Psychiatrie Adulte 1, Hopitaux Universitaires de Geneve, Chemin du Petit-Bel-Air 2, CH-1225 Chene-Bourg, Switzerland"
Fabbro F.,"Istituto di Fisiologia, Universitˆ di Trieste, Italy"
Fabbro F.,"Istituto per l'Infanzia Burlo Garofolo, Trieste, e Istituto di Fisiologia, Universitˆ di Trieste, Trieste, Italy"
Fabbro F.,"Instituto per l'Infanzia Burlo Garofolo, Trieste, Italy"
